Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"Aqua Metals, Inc.",1621832,AQMS,"NASDAQ Capital Market",471169572,"2500 PERU DR.",,MCCARRAN,,NV,NEVADA,"US West",89437,"(775) 525-1936",DE,,,3341,"Secondary Smelting and Refining of Nonferrous Metals",331423,"Secondary Smelting, Refining, and Alloying of Copper",34,"Armanino LLP",20474,,,,"170,000","13,000",0,0,"41,000",,,0,"54,000","224,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-25,1.22,2021-12-29,"85,193,192",2021-12-31,"173,000","-18,193,000","26,893,000","33,269,000"
"Lottery.com Inc.",1673481,LTRY,"NASDAQ Global Market",811996183,"20808 STATE HWY 71 W, UNIT B",,SPICEWOOD,Travis,TX,TEXAS,"US Southwest",78669,"(833) 356-8837",DE,,,7372,"Prepackaged Software",713290,"Other Gambling Industries",34,"Armanino LLP",20474,,,,"813,696",0,0,0,0,,,0,0,"813,696",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-28,6.42,2021-12-29,"323,442,688",2021-12-31,"68,527,394","-10,955,026","85,923,195","147,151,478"
"Vaxxinity, Inc.",1851657,VAXX,"NASDAQ Global Market",862083865,"505 ODYSSEY WAY",,"EXPLORATION PARK",Brevard,FL,FLORIDA,"US Southeast",32953,"(254) 244-5739",FL,,,2834,"Pharmaceutical Preparations",325414,"Biological Product (except Diagnostic) Manufacturing",34,"Armanino LLP",20474,,,,"902,126",0,0,0,"45,139",,,"6,619","51,758","953,884",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-05-02,5.61,2021-12-31,"625,616,512",2021-12-31,"66,000","-137,175,000",,"166,673,000"
"A10 Networks, Inc.",1580808,ATEN,NYSE,201446869,"2300 ORCHARD PKWY",,"SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95131,"(408) 325-8668",DE,,,3576,"Computer Communications Equipment",541512,"Computer Systems Design Services",34,"Armanino LLP",20474,,,,"897,763",0,0,0,0,,,0,0,"897,763",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-05-11,16.77,2021-12-29,"1,300,511,488",2021-12-31,"250,042,000","94,887,000","207,581,000","393,085,000"
"UTG INC",832480,UTGN,"Pink Current",202907892,"205 NORTH DEPOT STREET",,STANFORD,Lincoln,KY,KENTUCKY,"US Mid Atlantic",40484,"(217) 241-6300",DE,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"Armanino LLP",20474,,,,"123,050",0,0,0,"21,750",,,0,"21,750","144,800",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-05-13,27.2,2021-12-30,"86,121,592",2021-12-31,"35,613,377","9,663,063",,"438,459,757"
"Greenidge Generation Holdings Inc.",1844971,GREE,"NASDAQ Global Market",861746728,"135 RENNELL DRIVE","3RD FLOOR",FAIRFIELD,Fairfield,CT,CONNECTICUT,"US New England",06890,"(315) 536-2359",DE,,,6199,"Finance Services",221112,"Fossil Fuel Electric Power Generation",34,"Armanino LLP",20474,,,,"852,000",0,0,0,0,,,0,0,"852,000",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-07-28,16.8,2021-12-29,"194,967,440",2021-12-31,"97,325,000","-44,480,000",,"341,267,000"
"IMMERSION CORP",1058811,IMMR,"NASDAQ Global Select Market",943180138,"2999 N. E. 191ST STREET","SUITE 610",AVENTURA,Miami-Dade,FL,FLORIDA,"US Southeast",33180,"(408) 467-1900",DE,,,3577,"Computer Peripheral Equipment, NEC",334119,"Other Computer Peripheral Equipment Manufacturing",34,"Armanino LLP",20474,,,,"342,391","178,700",0,0,0,,,"70,627","249,327","591,718",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-11,5.8,2021-12-29,"191,549,424",2021-12-31,"35,089,000","12,484,000",,"175,520,000"
"Momentus Inc.",1781162,MNTS,"NASDAQ Global Select Market",841905538,"3901 N. FIRST STREET",,"SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95134,"(650) 564-7820",DE,,,3760,"Guided Missiles & Space Vehicles & Parts",481212,"Nonscheduled Chartered Freight Air Transportation",34,"Armanino LLP",20474,,,,"288,459",0,0,0,"111,175",,,0,"111,175","399,634",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-04-15,4.18,2021-12-29,"336,825,376",2021-12-31,"330,000","120,654,000","131,539,000","185,825,000"
"SIFY TECHNOLOGIES LTD",1094324,SIFY,"NASDAQ Capital Market",000000000,"4 CANAL BAND ROAD TARAMANI","MAANASAROVAR TOWERS","TAMIL NADU",,K7,INDIA,Foreign,"600 113","91 44 2254 0770",K7,,,7370,"Services-Computer Programming, Data Processing, Etc.",541512,"Computer Systems Design Services",34,"ASA & Associates LLP",13794,,,,"95,655","13,472",0,0,0,,,0,"13,472","109,127",USD,,,0,2021-03-31,2021,03,0331,,,20-F,2021-07-29,3.37,2021-03-29,"603,982,336",2021-03-31,"332,626,000","20,952,000","170,568,000","501,473,000"
"Perspective Therapeutics, Inc.",728387,ISR,"NYSE MKT",411458152,"350 HILLS STREET,","SUITE 106",RICHLAND,Benton,WA,WASHINGTON,"US West",99354,"(509) 375-1202",DE,,,3841,"Surgical and Medical Instruments and Apparatus",339113,"Surgical Appliance and Supplies Manufacturing",34,"Assure CPA LLC",32935,,,,"67,000",0,0,0,"11,000","11,000",,"26,000","37,000","104,000",USD,,,0,2021-06-30,2021,06,630,,,"DEF 14A",2021-10-25,0.778,2021-07-02,"110,059,976",2021-06-30,"10,053,000","-3,387,000",,"70,416,000"
"Comstock Inc.",1120970,LODE,"NYSE MKT",650955118,"117 AMERICAN FLAT ROAD","PO BOX 1118","VIRGINIA CITY,",Storey,NV,NEVADA,"US West",89440,"(775) 847-5272",NV,,,2860,"Industrial Organic Chemicals",212221,"Gold Ore Mining",34,"Assure CPA LLC",32935,,,,"214,222",0,0,0,0,,,"3,108","3,108","217,330",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-15,1.26,2021-12-29,"82,274,360",2021-12-31,"862,165","-24,583,620","53,606,550","126,954,632"
"ALTISOURCE PORTFOLIO SOLUTIONS S.A.",1462418,ASPS,"NASDAQ Global Select Market",980554932,"33, BOULEVARD PRINCE HENRI","L-1724 LUXEMBOURG CITY","GRAND DUCHY OF LUXEMBOURG",,N4,LUXEMBOURG,Foreign,50,"352 24 69 79 00",N4,,,7380,"Services-Miscellaneous Business Services",522310,"Mortgage and Nonmortgage Loan Brokers",34,"ATWELL Sàrl",29489,,,,"210,648",0,0,0,0,,,0,0,"210,648",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-04,11.25,2021-12-29,"178,923,632",2021-12-31,"178,453,000","11,812,000","-162,961,000","257,808,000"
"Bit Digital, Inc",1710350,BTBT,"NASDAQ Capital Market",,"33 IRVING PLACE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10003,"(212) 463-5121",E9,,,6199,"Finance Services",522310,"Mortgage and Nonmortgage Loan Brokers",34,"Audit Alliance LLP",32441,,,,"190,000","50,940",0,0,0,,,0,"50,940","240,940",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-04-15,6.31,2021-12-29,"303,156,288",2021-12-31,"96,078,570","4,864,002",,"179,917,981"
"Mega Matrix Corp.",1036848,MPU,"NYSE MKT",943263974,"1440 CHAPIN AVE STE 310",,BURLINGAME,"San Mateo",CA,CALIFORNIA,"US West",94010,"(650) 340-1888",DE,,,7359,"Equipment Rental and Leasing, NEC",532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",34,"Audit Alliance LLP",32441,,,,"267,000",0,0,0,0,,,0,0,"267,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-11-03,11.94,2021-12-31,"263,683,616",2021-12-31,"6,293,900","14,887,800","7,361,800","14,949,600"
"SALISBURY BANCORP, INC.",1060219,SAL,"NASDAQ Capital Market",061514263,"5 BISSELL ST","PO BOX 1868",LAKEVILLE,Litchfield,CT,CONNECTICUT,"US New England",06039-1868,"(860) 435-9801",CT,,,6035,"Savings Institutions, Federally Chartered",522120,"Savings Institutions",34,"Baker Newman & Noyes LLC",502,,,,"293,500","21,000",0,0,"18,500","18,500",,0,"39,500","333,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-08,51.9,2021-12-29,"148,522,080",2021-12-31,"52,844,000","16,473,000","122,367,000","1,529,184,000"
"MESABI TRUST",65172,MSB,NYSE,136022277,"P O BOX 318 CHURCH ST STATION","C/O BANKERS TRUST CO CORP TRUST","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10008-0318,"(212) 250-6519",NY,,,6795,"Mineral Royalty Traders",533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",34,"Baker Tilly US LLP",32612,,,,"64,138",0,0,0,0,,,0,0,"64,138",USD,,,0,2021-01-31,2021,01,0131,,,10-K,2021-04-27,26.08,2021-02-02,"342,169,856",2021-01-31,"25,915,078","23,407,647",,"22,928,926"
"C21 Investments Inc.",831609,CXXIF,"OTCQX International",,"SUITE 820, 1075 WEST GEORGIA STREET",,VANCOUVER,,A1,"BRITISH COLUMBIA",Canada,"V6E 3N9","(604) 336-8613",A1,,,2833,"Medicinal Chemicals and Botanical Products",111998,"All Other Miscellaneous Crop Farming",34,"Baker Tilly US LLP",32612,,,,"149,591",0,0,0,"17,839",,,0,"17,839","167,429",USD,,,0,2021-01-31,2021,01,0131,,,40-F,2021-06-01,1.31,2021-02-02,"117,099,120",2021-01-31,"33,466,063","-7,829,628","-16,243,136","66,819,464"
"LANTRONIX INC",1114925,LTRX,"NASDAQ Capital Market",330362767,"48 DISCOVERY, SUITE 250",,IRVINE,Orange,CA,CALIFORNIA,"US West",92618,"(949) 453-3990",DE,,,3576,"Computer Communications Equipment",334119,"Other Computer Peripheral Equipment Manufacturing",34,"Baker Tilly US LLP",32612,,,,"192,500","25,000",0,0,"175,500",,,0,"200,500","393,000",USD,,,0,2021-06-30,2021,06,0630,,,"DEF 14A",2021-10-06,5.18,2021-07-02,"149,671,344",2021-06-30,"71,477,000","-4,044,000","20,931,000","72,566,000"
"NAPCO SECURITY TECHNOLOGIES, INC",69633,NSSC,"NASDAQ Global Select Market",112277818,"333 BAYVIEW AVE",,AMITYVILLE,Suffolk,NY,"NEW YORK","US Mid Atlantic",11701,"(631) 842-9400",DE,,,3669,"Communications Equipment, NEC",334290,"Other Communications Equipment Manufacturing",34,"Baker Tilly US LLP",32612,,,,"342,000",0,0,0,0,,,"19,000","19,000","361,000",USD,,,0,2021-06-30,2021,06,0630,,"Russell 2000","DEF 14A",2021-10-28,35.44,2021-07-02,"650,362,432",2021-06-30,"114,035,000","15,413,000","87,697,000","122,551,000"
"NORTHERN TECHNOLOGIES INTERNATIONAL CORP",875582,NTIC,"NASDAQ Global Market",410857886,"4201 WOODLAND ROAD","PO BOX 69","CIRCLE PINES",Anoka,MN,MINNESOTA,"US Midwest",55014,"(763) 225-6601",DE,,,3470,"Coating, Engraving & Allied Services",333993,"Packaging Machinery Manufacturing",34,"Baker Tilly US LLP",32612,,,,"415,288","6,000",0,0,0,,,0,"6,000","421,288",USD,,,0,2021-08-31,2021,08,0831,,,"DEF 14A",2021-12-06,17.105,2021-09-02,"155,824,176",2021-08-31,"56,493,819","6,281,238","61,658,454","74,370,879"
"DAILY JOURNAL CORP",783412,DJCO,"NASDAQ Capital Market",954133299,"915 EAST FIRST STREET",,"LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90012,"(213) 229-5300",SC,,,2711,"Newspapers:  Publishing, or Publishing and Printing",511110,"Newspaper Publishers",34,"Baker Tilly US LLP",32612,,,,"245,000",0,0,0,0,,,0,0,"245,000",USD,,,0,2021-09-30,2021,09,0930,,"Russell 2000","DEF 14A",2021-12-29,322.96,2021-09-28,"445,925,728",2021-09-30,"49,925,000","112,900,000",,"382,556,000"
"MALVERN BANCORP, INC.",1550603,MLVF,"NASDAQ Global Market",455307782,"42 EAST LANCASTER AVENUE",,PAOLI,Chester,PA,PENNSYLVANIA,"US Mid Atlantic",19301,"(610) 644-9400",PA,,,6035,"Savings Institutions, Federally Chartered",522120,"Savings Institutions",34,"Baker Tilly US LLP",32612,,,,"474,000",0,"30,600",0,"46,820",,,0,"77,420","551,420",USD,,,0,2021-09-30,2021,09,0930,,,"DEF 14A",2022-01-27,17.17,2021-09-28,"130,875,168",2021-09-30,"20,647,000","-92,000",,"1,209,143,000"
"BRIDGFORD FOODS CORP",14177,BRID,"NASDAQ Global Market",951778176,"1308 N PATT ST","P O BOX 3773",ANAHEIM,Orange,CA,CALIFORNIA,"US West",92801,"(714) 526-5533",CA,,,2013,"Sausages and Other Prepared Meats",311412,"Frozen Specialty Food Manufacturing",34,"Baker Tilly US LLP",32612,,,,"221,000",0,0,0,0,,,0,0,"221,000",USD,,,0,2021-10-29,2021,10,1028,,,"DEF 14A",2022-09-08,11.9414,2021-10-27,"108,390,080",2021-10-29,"240,430,000","-5,503,000",,"156,790,000"
"Genasys Inc.",924383,GNSS,"NASDAQ Capital Market",870361799,"16262 WEST BERNARDO DRIVE",,"SAN DIEGO","San Diego",CA,CALIFORNIA,"US West",92127,"(858) 676-1112",DE,,,3651,"Household Audio and Video Equipment",334310,"Audio and Video Equipment Manufacturing",34,"Baker Tilly US LLP",32612,,,,"248,642",0,0,0,"23,405",,,0,"23,405","272,047",USD,,,0,2021-09-30,2021,09,930,,,"DEF 14A",2022-01-28,5.02,2021-09-28,"181,433,312",2021-09-30,"47,003,000","704,000","29,320,000","90,128,000"
"CITIZENS & NORTHERN CORP",810958,CZNC,"NASDAQ Capital Market",232451943,"90-92 MAIN ST",,WELLSBORO,Tioga,PA,PENNSYLVANIA,"US Mid Atlantic",16901,"(877) 838-2517",PA,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"Baker Tilly US LLP",32612,,,,"281,280",0,"20,881",0,"30,205","30,205",,0,"51,086","332,366",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-11,26.12,2021-12-29,"411,416,256",2021-12-31,"100,159,000","30,554,000","245,584,000","2,327,648,000"
"CHESAPEAKE UTILITIES CORP",19745,CPK,NYSE,510064146,"500 ENERGY LANE",,DOVER,Kent,DE,DELAWARE,"US Mid Atlantic",19901,"(302) 734-6799",DE,,,4923,"Natural Gas Transmission and Distribution",221210,"Natural Gas Distribution",34,"Baker Tilly US LLP",32612,,,,"899,905","48,780",0,0,0,,,0,"48,780","948,685",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-22,143.22,2021-12-29,"2,521,272,832",2021-12-31,"569,968,000","83,466,000","716,230,000","2,114,869,000"
"WEYCO GROUP INC",106532,WEYS,"NASDAQ Global Select Market",390702200,"333 W ESTABROOK BOULEVARD",,GLENDALE,Milwaukee,WI,WISCONSIN,"US Midwest",53212,"(414) 908-1600",WI,,,5130,"Wholesale trade--nondurable goods",316213,"Men's Footwear (except Athletic) Manufacturing",34,"Baker Tilly US LLP",32612,,,,"292,475",0,"22,800",0,"3,100",,,0,"25,900","318,375",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-04-04,23.16,2021-12-29,"225,819,008",2021-12-31,"267,641,000","20,555,000","154,310,000","277,667,000"
"FNCB Bancorp, Inc.",1035976,FNCB,"NASDAQ Capital Market",232900790,"102 EAST DRINKER STREET",,DUNMORE,Lackawanna,PA,PENNSYLVANIA,"US Mid Atlantic",18512,"(570) 346-7667",PA,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"Baker Tilly US LLP",32612,,,,"271,801",0,0,0,"27,775",,,0,"27,775","299,576",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-04,9.06,2021-12-29,"181,071,680",2021-12-31,"57,096,000","21,371,000",,"1,664,323,000"
"PEOPLES FINANCIAL SERVICES CORP.",1056943,PFIS,"NASDAQ Global Select Market",232391852,"150 N WASHINGTON AVE",,SCRANTON,Lackawanna,PA,PENNSYLVANIA,"US Mid Atlantic",18503,"(570) 346-7741",PA,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"Baker Tilly US LLP",32612,,,,"306,500","30,850",0,0,0,,,0,"30,850","337,350",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-04-05,52.84,2021-12-29,"379,006,624",2021-12-31,"108,521,000","43,519,000","276,288,000","3,369,483,000"
"QNB CORP",750558,QNBC,"Pink Current",232318082,"15 NORTH THIRD STREET",,QUAKERTOWN,Bucks,PA,PENNSYLVANIA,"US Mid Atlantic",18951-9005,"(215) 538-5600",PA,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"Baker Tilly US LLP",32612,,,,"222,860","15,517",0,0,0,,,0,"15,517","238,377",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-12,36,2021-12-29,"127,811,120",2021-12-31,"51,450,000","16,492,000",,"1,673,340,000"
"Miromatrix Medical Inc.",1527096,MIRO,"NASDAQ Capital Market",271285782,"6455 FLYING CLOUD DRIVE","SUITE 107","EDEN PRAIRIE",Hennepin,MN,MINNESOTA,"US Midwest",55344,"(612) 202-7026",DE,,,2836,"Biological Products, Except Diagnostic Substances",325414,"Biological Product (except Diagnostic) Manufacturing",34,"Baker Tilly US LLP",32612,,,,"170,617","95,000",0,0,"9,025","9,025",,0,"104,025","274,642",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-29,4.64,2021-12-29,"93,981,552",2021-12-31,"33,066","-14,670,756",,"60,928,999"
"Super League Gaming, Inc.",1621672,SLGG,"NASDAQ Capital Market",471990734,"2912 COLORADO AVE, STE 203",,"SANTA MONICA","Los Angeles",CA,CALIFORNIA,"US West",90404,"(802) 294-2754",DE,,,7900,"Services-Amusement & Recreation Services",518210,"Data Processing, Hosting, and Related Services",34,"Baker Tilly US LLP",32612,,,,"270,904","80,460",0,0,"21,375",,,0,"101,835","372,739",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-05-02,2.28,2021-12-29,"81,574,432",2021-12-31,"11,672,000","-20,748,000","16,191,000","96,805,000"
"SOUNDTHINKING, INC.",1351636,SSTI,"NASDAQ Capital Market",470949915,"39300 CIVIC CENTER DRIVE, SUITE 300",,FREMONT,Alameda,CA,CALIFORNIA,"US West",94538,"(510) 794-3100",,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"Baker Tilly US LLP",32612,,,,"267,795",0,0,0,0,,,0,0,"267,795",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-05-02,29.77,2021-12-29,"347,590,336",2021-12-31,"58,155,000","-4,431,000","17,435,000","72,304,000"
"HALLMARK FINANCIAL SERVICES INC",819913,HALL,"NASDAQ Global Market",870447375,"777 MAIN STREET, SUITE 1000",,"FORT WORTH",Tarrant,TX,TEXAS,"US Southwest",76102,"(817) 348-1600",NV,,,6399,"Insurance Carriers, NEC",524126,"Direct Property and Casualty Insurance Carriers",34,"Baker Tilly US LLP",32612,,,,"1,383,879",0,0,0,0,,,0,0,"1,383,879",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-05-25,4.46,2021-12-29,"81,049,200",2021-12-31,"226,502,000","9,004,000","174,702,000","1,553,598,000"
"UNITED GUARDIAN INC",101295,UG,"NASDAQ Global Market",111719724,"230 MARCUS BLVD",,HAUPPAUGE,Suffolk,NY,"NEW YORK","US Mid Atlantic",11788,"(631) 273-0900",DE,,,2844,"Perfumes, Cosmetics, and Other Toilet Preparations",325620,"Toilet Preparation Manufacturing",34,"Baker Tilly US LLP",32612,,,,"90,500",0,0,0,0,,,0,0,"90,500",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-07-14,16.41,2021-12-29,"75,392,776",2021-12-31,"13,929,629","4,658,542",,"12,242,252"
